                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3003,                 3.8411,                 1.2449,                 0.2169,                0.20046,                0.10804,                0.07585,                 1.2024,                  2.758,                 1.1661,             0.00015109,             0.00015109,             0.00015109
                      2,                 1.2829,                 2.5707,                 1.2087,                0.22522,                 0.1982,                0.11831,                0.08108,                 1.2793,                  2.676,                 1.2512,             0.00029277,             0.00029277,             0.00029277
                      3,                 1.3169,                 2.4306,                 1.2404,                0.30085,                0.20446,                0.13931,                0.09459,                 1.3084,                  2.575,                  1.247,             0.00042443,             0.00042443,             0.00042443
                      4,                 1.2842,                 2.2802,                 1.2151,                0.18595,                 0.2194,                0.15216,                0.10464,                  1.264,                 2.4923,                  1.213,             0.00040995,             0.00040995,             0.00040995
                      5,                 1.2686,                 2.1659,                 1.2005,                0.27001,                0.22438,                0.15632,                0.10836,                 1.2496,                 2.4873,                  1.205,             0.00040995,             0.00040995,             0.00040995
                      6,                 1.2308,                 1.9605,                 1.1844,                0.25205,                0.23804,                0.16787,                0.11621,                 1.2236,                 2.4131,                 1.1884,             0.00039494,             0.00039494,             0.00039494
                      7,                 1.2243,                 1.8577,                 1.1639,                0.26266,                0.25133,                0.18977,                0.13388,                 1.2142,                 2.3385,                 1.1805,             0.00037993,             0.00037993,             0.00037993
                      8,                 1.1997,                 1.7636,                 1.1601,                0.38107,                0.26156,                0.22224,                0.15864,                 1.1896,                 2.2387,                 1.1817,             0.00036491,             0.00036491,             0.00036491
                      9,                 1.1469,                  1.629,                 1.1352,                0.33394,                0.26653,                0.22518,                0.16203,                  1.206,                 2.2646,                 1.1718,             0.00034989,             0.00034989,             0.00034989
                     10,                 1.1305,                 1.5387,                 1.1301,                0.39434,                0.25179,                0.22424,                0.15839,                 1.2116,                 2.3037,                 1.1801,             0.00033488,             0.00033488,             0.00033488
